ts,account,symbol,side,size_usd,size_tokens,collateral,entry_price,current_price,pnl,liquidation_price,leverage,is_liquidatable,opened_at
1768308946023934000,53,ETH-USD,Sell,15452333810,4939424945250396747,7713805038,3128366961,3130585000,-21047116,4470983811,2,false,1768308913
1768308946023934000,36,ETH-USD,Buy,3773270142,1204347908006282040,1882861801,3133039977,3130585000,-5417138,1717945390,2,false,1768308915
1768308946023934000,32,ETH-USD,Buy,2047530120,653597432932541706,1022127036,3132708326,3130585000,-2723105,1695512033,2,false,1768308918
1768308946023934000,43,ETH-USD,Sell,3319125000,1060742519763834685,1656907200,3129058124,3130585000,-3786726,4618636297,2,false,1768308892
1768308946023934000,24,ETH-USD,Buy,469550361,149878813711841136,156047237,3132866810,3130585000,-648198,2198594447,3,false,1768308936
1768308946023934000,33,ETH-USD,Sell,2838052070,907058680212784034,1416187983,3128851673,3130585000,-3425356,4622604694,2,false,1768308918
1768308946023934000,31,ETH-USD,Sell,2085340964,666448380266869958,1040585142,3129035984,3130585000,-2393897,4627844223,2,false,1768308920
1768308946023934000,30,ETH-USD,Buy,3035642740,968848167832273658,1515392856,3133249193,3130585000,-4560563,1708188778,2,false,1768308920
1768308946023934000,37,ETH-USD,Sell,3396350100,1085758340690647122,1695457970,3128090268,3130585000,-4926887,4616391886,2,false,1768308915
1768308946023934000,25,ETH-USD,Sell,718725087,229785794905243908,238856304,3127804689,3130585000,-1108329,4104722355,3,false,1768308936
1768308946023934000,51,ETH-USD,Sell,7333118170,2343619006396684348,3660692591,3128971965,3130585000,-8568369,4571893514,2,false,1768308844
1768308946023934000,23,ETH-USD,Sell,358792188,114690005118757064,119238604,3128364913,3130585000,-488934,4105457557,3,false,1768308942
1768308946023934000,20,ETH-USD,Buy,601715751,192059622681013657,200090545,3132963309,3130585000,-849156,2199691852,3,false,1768308945
1768308946023934000,41,ETH-USD,Sell,4972753906,1589039568156293144,2481404200,3129408483,3130585000,-5115951,4600029404,2,false,1768308923
1768308946023934000,21,ETH-USD,Sell,683113302,218359598786335656,227021321,3128386870,3130585000,-926092,4105486371,3,false,1768308945
1768308946023934000,22,ETH-USD,Buy,624285885,199243638409558183,207595867,3133278884,3130585000,-943795,2200196295,3,false,1768308942
1768308946023934000,52,ETH-USD,Buy,10036503686,3203778533322671036,5008215340,3132708326,3130585000,-13348011,1796247070,2,false,1768308913
1768308946023934000,26,ETH-USD,Buy,788893560,251822762394937410,262333406,3132733326,3130585000,-1055473,2201875890,3,false,1768308937
1768308948023934000,40,ETH-USD,Buy,5025988676,1603950676132091330,2508973548,3133505756,3130550000,-8540336,1733275783,2,false,1768308923
1768308948023934000,27,ETH-USD,Sell,1056866928,337837776592765133,351232110,3128326673,3130550000,-1551396,4105407294,3,false,1768308937
1768308948023934000,42,ETH-USD,Buy,3723056250,1188038251117566916,1857805069,3133784831,3130550000,-6657336,1717724582,2,false,1768308892
1768308948023934000,50,ETH-USD,Buy,10558296806,3368864484213386107,5268590107,3134081782,3130550000,-19878284,1803576459,2,false,1768308844
1768308948023934000,53,ETH-USD,Sell,15452333810,4939424945250396747,7713805038,3128366961,3130550000,-22483496,4470983557,2,false,1768308913
1768308948023934000,36,ETH-USD,Buy,3773270142,1204347908006282040,1882861801,3133039977,3130550000,-5851666,1717945510,2,false,1768308915
1768308948023934000,32,ETH-USD,Buy,2047530120,653597432932541706,1022127036,3132708326,3130550000,-2958922,1695512142,2,false,1768308918
1768308948023934000,43,ETH-USD,Sell,3319125000,1060742519763834685,1656907200,3129058124,3130550000,-4095189,4618636044,2,false,1768308892
1768308948023934000,24,ETH-USD,Buy,469550361,149878813711841136,156047237,3132866810,3130550000,-702274,2198594490,3,false,1768308936
1768308948023934000,33,ETH-USD,Sell,2838052070,907058680212784034,1416187983,3128851673,3130550000,-3689128,4622604477,2,false,1768308918
1768308948023934000,31,ETH-USD,Sell,2085340964,666448380266869958,1040585142,3129035984,3130550000,-2587700,4627844020,2,false,1768308920
1768308948023934000,30,ETH-USD,Buy,3035642740,968848167832273658,1515392856,3133249193,3130550000,-4910122,1708188879,2,false,1768308920
1768308948023934000,37,ETH-USD,Sell,3396350100,1085758340690647122,1695457970,3128090268,3130550000,-5242625,4616391647,2,false,1768308915
1768308948023934000,25,ETH-USD,Sell,718725087,229785794905243908,238856304,3127804689,3130550000,-1175151,4104722268,3,false,1768308936
1768308948023934000,51,ETH-USD,Sell,7333118170,2343619006396684348,3660692591,3128971965,3130550000,-9249891,4571893137,2,false,1768308844
1768308948023934000,23,ETH-USD,Sell,358792188,114690005118757064,119238604,3128364913,3130550000,-522286,4105457513,3,false,1768308942
1768308948023934000,20,ETH-USD,Buy,601715751,192059622681013657,200090545,3132963309,3130550000,-918451,2199691863,3,false,1768308945
1768308948023934000,41,ETH-USD,Sell,4972753906,1589039568156293144,2481404200,3129408483,3130550000,-5578042,4600029223,2,false,1768308923
1768308948023934000,21,ETH-USD,Sell,683113302,218359598786335656,227021321,3128386870,3130550000,-989591,4105486350,3,false,1768308945
1768308948023934000,22,ETH-USD,Buy,624285885,199243638409558183,207595867,3133278884,3130550000,-1015682,2200196316,3,false,1768308942
