ts,account,symbol,side,size_usd,collateral,execution_price,leverage,order_type,pnl
1768308792023934000,31,ETH-USD,Sell,2520217524,1258092588,3130705000,2,Increase,0
1768308798023934000,20,ETH-USD,Buy,880982844,292779966,3130700000,0,Decrease,-1227757
1768308798023934000,21,ETH-USD,Sell,693762012,230698995,3130700000,0,Decrease,-970069
1768308798523934000,20,ETH-USD,Buy,681257727,226404652,3130780000,3,Increase,0
1768308798523934000,21,ETH-USD,Sell,395730591,131593613,3130780000,3,Increase,0
1768308799523934000,36,ETH-USD,Buy,2539214248,1267575753,3130780000,0,Decrease,-2854664
1768308799523934000,37,ETH-USD,Sell,4419209414,2205185498,3130780000,0,Decrease,-6627212
1768308801423934000,23,ETH-USD,Sell,855310992,284419416,3130705000,0,Decrease,-1188435
1768308801423934000,22,ETH-USD,Buy,817742427,271763067,3130705000,0,Decrease,-1139222
1768308802023934000,22,ETH-USD,Buy,370049331,122979728,3130705000,3,Increase,0
1768308802023934000,23,ETH-USD,Sell,660578754,219664455,3130705000,3,Increase,0
1768308802323934000,25,ETH-USD,Sell,512807841,170525701,3130708130,0,Decrease,-717045
1768308802323934000,24,ETH-USD,Buy,631148112,209751556,3130708130,0,Decrease,-875995
1768308802423934000,26,ETH-USD,Buy,901022655,299439863,3130708130,0,Decrease,-1251008
1768308802423934000,27,ETH-USD,Sell,1115788293,371036801,3130708130,0,Decrease,-1665382
1768308803023934000,25,ETH-USD,Sell,740725542,246315934,3130708130,3,Increase,0
1768308803023934000,37,ETH-USD,Sell,2625098766,1310449304,3130708130,2,Increase,0
1768308803023934000,24,ETH-USD,Buy,418888746,139294472,3130708130,3,Increase,0
1768308803023934000,36,ETH-USD,Buy,4658806768,2324744578,3130708130,2,Increase,0
1768308803223934000,26,ETH-USD,Buy,959248971,318790409,3130708130,3,Increase,0
1768308803223934000,27,ETH-USD,Sell,1063188480,353545610,3130708130,3,Increase,0
1768308808523934000,20,ETH-USD,Buy,681257727,226404652,3130757415,0,Decrease,-924445
1768308808523934000,21,ETH-USD,Sell,395730591,131593613,3130757415,0,Decrease,-532002
1768308809023934000,21,ETH-USD,Sell,725709567,241322622,3130757415,3,Increase,0
1768308809023934000,20,ETH-USD,Buy,706925022,234934749,3130757415,3,Increase,0
1768308815623934000,24,ETH-USD,Buy,418888746,139294472,3130730000,0,Decrease,-603229
1768308815623934000,25,ETH-USD,Sell,740725542,246315934,3130730000,0,Decrease,-1078535
1768308816323934000,25,ETH-USD,Sell,438952179,145966232,3130900000,3,Increase,0
1768308816323934000,24,ETH-USD,Buy,579216498,192492950,3130900000,3,Increase,0
1768308817023934000,22,ETH-USD,Buy,370049331,122979728,3130900000,0,Decrease,-480905
1768308817023934000,23,ETH-USD,Sell,660578754,219664455,3130900000,0,Decrease,-942016
1768308817623934000,22,ETH-USD,Buy,509710518,169393796,3130900000,3,Increase,0
1768308817623934000,23,ETH-USD,Sell,562309638,186986699,3130900000,3,Increase,0
1768308819023934000,21,ETH-USD,Sell,725709567,241322622,3131127500,0,Decrease,-1169910
1768308819023934000,20,ETH-USD,Buy,706925022,234934749,3131127500,0,Decrease,-971064
1768308819523934000,20,ETH-USD,Buy,747713247,248490036,3131127500,3,Increase,0
1768308819523934000,21,ETH-USD,Sell,663799029,220735304,3131127500,3,Increase,0
1768308820023934000,34,ETH-USD,Buy,1858149162,927216432,3131780000,0,Decrease,-1997232
1768308820023934000,35,ETH-USD,Sell,2783310202,1389428453,3131780000,0,Decrease,-4681752
1768308820523934000,33,ETH-USD,Sell,1900459772,948709519,3131780000,0,Decrease,-3107773
1768308820523934000,32,ETH-USD,Buy,1601458276,799127680,3131780000,0,Decrease,-1721327
1768308821623934000,26,ETH-USD,Buy,959248971,318790409,3131780000,0,Decrease,-949898
1768308821623934000,27,ETH-USD,Sell,1063188480,353545610,3131780000,0,Decrease,-1782808
1768308822023934000,30,ETH-USD,Buy,1869030884,932646412,3131780000,0,Decrease,-2036459
1768308822023934000,31,ETH-USD,Sell,2520217524,1258092588,3131931637,0,Decrease,-4501612
1768308822423934000,26,ETH-USD,Buy,864413130,287273297,3131931637,3,Increase,0
1768308822423934000,27,ETH-USD,Sell,1210804770,402632947,3131931637,3,Increase,0
1768308823023934000,34,ETH-USD,Buy,3069293004,1531577209,3131931637,2,Increase,0
1768308823023934000,32,ETH-USD,Buy,1758579614,877531228,3131931637,2,Increase,0
1768308823023934000,40,ETH-USD,Buy,4870409940,2430334561,3131931637,0,Decrease,-3309061
1768308823023934000,35,ETH-USD,Sell,1894818640,945893466,3131931637,2,Increase,0
1768308823023934000,41,ETH-USD,Sell,5289841130,2640688693,3131931637,0,Decrease,-9849744
