ts,symbol,price_min,price_max,price_mid
1768308987923934000,ETH-USD,3127599633,3132742531,3130171082
1768308989923934000,ETH-USD,3128117843,3132248291,3130183067
1768308991923934000,ETH-USD,3128124103,3132248291,3130186197
1768308993923934000,ETH-USD,3127786615,3132547169,3130166892
1768308995923934000,ETH-USD,3127520345,3132885941,3130203143
1768308997923934000,ETH-USD,3128114602,3132288306,3130201454
1768308999923934000,ETH-USD,3128097722,3132288306,3130193014
1768309001923934000,ETH-USD,3128106584,3132288306,3130197445
1768309003923934000,ETH-USD,3127539795,3132875163,3130207479
1768309005923934000,ETH-USD,3128104740,3132288306,3130196523
1768309007923934000,ETH-USD,3128136042,3132288306,3130212174
1768309009923934000,ETH-USD,3128067209,3132313315,3130190262
1768309011923934000,ETH-USD,3127654911,3132405089,3130030000
1768309013923934000,ETH-USD,3128157027,3132122971,3130139999
1768309015923934000,ETH-USD,3127841903,3132429807,3130135855
1768309017923934000,ETH-USD,3127589238,3132544504,3130066871
1768309019923934000,ETH-USD,3127736703,3132263297,3130000000
1768309021923934000,ETH-USD,3127606087,3132393911,3129999999
1768309023923934000,ETH-USD,3127832874,3132107126,3129970000
1768309025923934000,ETH-USD,3127504853,3132421435,3129963144
1768309027923934000,ETH-USD,3127558901,3132373895,3129966398
1768309029923934000,ETH-USD,3127802874,3132107126,3129955000
1768309031923934000,ETH-USD,3128098657,3132107125,3130102891
1768309033923934000,ETH-USD,3128042639,3132107125,3130074882
1768309035923934000,ETH-USD,3127852196,3132263008,3130057602
1768309037923934000,ETH-USD,3127704677,3132581299,3130142988
1768309039923934000,ETH-USD,3128152002,3132387998,3130270000
1768309041923934000,ETH-USD,3128152002,3132387998,3130270000
1768309043923934000,ETH-USD,3128092002,3132387998,3130240000
1768309045923934000,ETH-USD,3128172002,3132387998,3130280000
1768309047923934000,ETH-USD,3128122002,3132387998,3130255000
1768309049923934000,ETH-USD,3128121601,3132387997,3130254799
1768309051923934000,ETH-USD,3128123305,3132387997,3130255651
